,game_id,home_gk_overall,home_dc_overall,home_mid_overall,home_st_overall,away_gk_overall,away_dc_overall,away_mid_overall,away_st_overall,homeScore,awayScore,matchResult
899,95224afe,70.0,64.0,64.0,71.33333333333333,69.0,68.25,66.0,63.666666666666664,2,3,Away
900,6ce17247,66.0,64.8,66.0,65.0,63.0,66.6,80.33333333333333,65.66666666666667,1,2,Away
901,3f7b87b9,69.0,64.2,66.5,66.5,62.0,67.25,59.6,83.25,0,3,Away
902,f32bb54f,70.0,68.4,66.0,74.0,69.0,72.0,68.5,63.0,3,1,Home
903,53e372dd,78.0,60.166666666666664,61.5,84.0,63.0,68.0,70.0,67.75,1,1,Draw
904,6533d274,68.0,60.666666666666664,63.5,68.25,68.0,66.25,66.0,66.5,2,2,Draw
905,c8ab18c8,63.0,59.5,63.0,63.0,69.0,65.8,73.33333333333333,70.33333333333333,2,2,Draw
906,10204eb8,64.0,63.666666666666664,63.5,68.0,64.0,67.25,69.2,70.66666666666667,3,1,Home
907,949b0917,69.0,78.5,81.0,71.0,66.0,65.0,67.33333333333333,61.0,5,1,Home
908,ffd6fa2f,63.0,73.75,72.75,74.0,62.0,63.166666666666664,63.666666666666664,66.0,1,2,Away
909,fdd85186,63.0,66.0,67.75,61.0,68.0,68.0,66.0,60.0,5,0,Home
910,0f06a162,63.0,66.6,70.0,71.33333333333333,69.0,72.0,65.25,70.33333333333333,4,0,Home
911,3a3dcb35,64.0,64.75,64.0,65.0,66.0,68.6,60.0,64.5,1,1,Draw
912,7df62594,64.0,66.0,66.33333333333333,65.0,69.0,65.0,69.75,64.0,0,3,Away
913,d6d922d0,78.0,73.8,75.33333333333333,65.33333333333333,62.0,68.0,73.33333333333333,61.0,2,2,Draw
914,fffdfc41,62.0,73.75,72.75,65.0,63.0,60.666666666666664,65.66666666666667,69.33333333333333,1,1,Draw
915,363f8d87,68.0,66.75,67.5,61.5,69.0,66.75,64.0,67.5,2,4,Away
916,d121d2fe,68.0,60.666666666666664,63.5,63.0,63.0,63.166666666666664,65.5,66.5,1,3,Away
917,1f4fdb5f,70.0,64.25,64.0,61.0,66.0,68.4,61.666666666666664,69.0,1,3,Away
918,f3b2aa39,69.0,73.8,75.33333333333333,66.33333333333333,69.0,66.25,69.75,65.0,3,0,Home
919,140f5fb4,78.0,79.33333333333333,80.33333333333333,81.75,66.0,64.4,59.6,65.5,2,1,Home
920,d58f8b35,62.0,66.6,67.5,70.0,69.0,72.0,66.0,63.0,3,3,Draw
921,2185c7f5,63.0,60.666666666666664,61.5,64.0,63.0,68.0,66.0,66.33333333333333,4,2,Home
922,9cc13e55,68.0,63.666666666666664,63.0,66.5,62.0,64.75,66.0,69.66666666666667,3,1,Home
923,6ac8a673,69.0,64.4,65.33333333333333,65.0,63.0,68.0,73.33333333333333,63.0,2,1,Home
924,047ad2d7,64.0,60.666666666666664,61.5,68.0,68.0,66.75,69.2,70.66666666666667,7,0,Home
925,ba296db6,70.0,72.75,72.66666666666667,74.0,66.0,63.166666666666664,63.5,64.0,1,0,Home
926,e0aca9dc,63.0,71.75,72.5,73.5,69.0,68.4,65.5,66.5,0,1,Away
927,3c776110,64.0,66.25,66.0,66.0,69.0,63.333333333333336,67.5,69.0,0,2,Away
928,b15270e1,63.0,66.6,69.0,63.0,63.0,68.0,63.0,66.0,2,1,Home
929,04b49830,63.0,78.25,83.0,63.75,66.0,64.0,66.0,64.66666666666667,0,0,Draw
930,68a63295,78.0,66.8,66.33333333333333,74.0,69.0,66.25,59.6,67.5,4,1,Home
931,651b8bdf,66.0,73.8,75.33333333333333,84.25,63.0,60.666666666666664,69.2,63.0,1,3,Away
932,b07cca46,69.0,72.75,73.75,68.0,62.0,64.25,64.66666666666667,64.0,1,3,Away
933,23d84166,68.0,60.6,61.5,61.5,62.0,64.6,66.5,64.0,1,0,Home
934,0c06c0c9,64.0,67.0,67.0,66.33333333333333,64.0,72.0,63.5,69.0,0,2,Away
935,d16559ab,70.0,66.33333333333333,66.33333333333333,62.5,69.0,63.333333333333336,64.0,63.0,0,3,Away
936,e30a07e3,69.0,79.66666666666667,80.33333333333333,61.5,66.0,66.2,64.33333333333333,63.333333333333336,2,2,Draw
937,330b9850,78.0,68.4,66.66666666666667,71.0,69.0,64.4,72.66666666666667,65.0,2,0,Home
938,5ebc00f1,63.0,73.4,75.0,71.0,63.0,66.75,59.4,70.66666666666667,4,2,Home
939,367e0516,62.0,64.25,65.33333333333333,69.66666666666667,62.0,67.8,69.0,63.0,2,0,Home
940,a2a3e181,56.0,64.25,64.66666666666667,66.5,63.0,61.2,66.0,66.5,2,2,Draw
941,7d0fed76,64.0,63.8,66.0,84.0,68.0,65.75,66.0,62.5,1,2,Away
942,4661d112,69.0,64.25,65.33333333333333,64.5,62.0,63.333333333333336,69.0,69.66666666666667,4,2,Home
943,15bd2f93,69.0,60.4,60.666666666666664,74.0,66.0,67.0,61.25,64.0,0,0,Draw
944,7eb884e7,64.0,60.666666666666664,62.0,73.5,66.0,78.5,69.0,65.0,3,1,Home
945,0cff2d10,68.0,64.25,64.66666666666667,59.333333333333336,68.0,65.25,59.2,65.5,2,3,Away
946,8a7f496b,63.0,66.4,64.33333333333333,69.66666666666667,63.0,72.0,67.6,60.0,3,0,Home
947,72335e6e,64.0,68.2,66.33333333333333,68.0,69.0,66.25,81.0,68.0,2,0,Home
948,f1268661,63.0,72.75,72.66666666666667,84.25,56.0,64.6,67.33333333333333,84.25,3,0,Home
